CID,MenteeID,MentorID,MentorshipType,Institution,InstitutionMAGID,StartYear,StopYear,NumOfMenteesOfTheMentor,NumOfMenteesOfTheMentor10,NumOfMenteesOfTheMenteeIn20,BigOrSmall,Survival0,Survival1,TotalPubsOfMentor,YearOfTheFirstPubsOfMentorPubs,YearlyPubsOfMentor,TotalCitationOfMentor,YearlyCitationOfMentor,TotalCollaOfMentor,YearllyCollaOfMentor,YearOfTheFirstPubsOfMenteePubs,First5YearPubsOfMentee,First5YearCitationOfMentee,First5YearCollaOfMentee,YearlyPubsOfMentee,YearlyCitationOfMentee,BirthYearOfMentee,CareerAgeOfMentorInTraining,PubsOfMentorInTraning,CollaPubsOfWithMentor
1549277,771773,770801,1,University of Virginia,51556381.0,-1,1973,19,5,0,1,0,0,394,1968.0,7.296296296296297,14088,260.8888888888889,250,4.62962962962963,-1.0,0,0,0,0.0,0.0,1973.0,5.0,21,0
1549279,771774,770801,1,University of Virginia,51556381.0,-1,1977,19,6,0,1,0,0,394,1968.0,7.296296296296297,14088,260.8888888888889,250,4.62962962962963,-1.0,0,0,0,0.0,0.0,1977.0,9.0,24,0
1549281,771775,770801,1,University of Virginia,51556381.0,-1,1976,19,5,0,1,0,0,394,1968.0,7.296296296296297,14088,260.8888888888889,250,4.62962962962963,1977.0,1,2,3,1.0,2.0,1976.0,8.0,25,1
1549286,771776,770801,1,University of Athens,,-1,1982,19,5,0,1,0,0,394,1968.0,7.296296296296297,14088,260.8888888888889,250,4.62962962962963,-1.0,0,0,0,0.0,0.0,1982.0,14.0,42,0
1549387,771756,771817,1,Paris University-Faculté des Sciences,,-1,1971,1,1,7,0,1,1,0,-1.0,0.0,0,0.0,0,0.0,1978.0,2,4,4,3.3255813953488373,177.53488372093022,1971.0,-1.0,0,0
1549388,771817,51812,1,Universite de Strasbourg (France),,-1,1934,8,3,0,-1,1,0,30,1896.0,0.3125,768,8.0,9,0.09375,-1.0,0,0,0,0.0,0.0,1934.0,38.0,1,0
1549403,771822,770801,1,University of Virginia,51556381.0,-1,1976,19,5,0,1,0,0,394,1968.0,7.296296296296297,14088,260.8888888888889,250,4.62962962962963,-1.0,0,0,0,0.0,0.0,1976.0,8.0,25,0
1549408,226239,770801,2,University of Virginia,51556381.0,1979,1982,19,5,14,1,1,1,394,1968.0,7.296296296296297,14088,260.8888888888889,250,4.62962962962963,1977.0,21,663,7,16.42222222222222,947.5555555555555,1977.0,14.0,42,20
1549414,771826,770801,2,University of Virginia,51556381.0,1974,1976,19,5,0,1,0,0,394,1968.0,7.296296296296297,14088,260.8888888888889,250,4.62962962962963,-1.0,0,0,0,0.0,0.0,1976.0,8.0,25,0
1549420,771826,63217,1,University of Chicago,40347166.0,-1,1972,12,7,0,1,0,0,160,1954.0,2.857142857142857,15463,276.125,110,1.9642857142857142,-1.0,0,0,0,0.0,0.0,1972.0,18.0,37,0
1549424,771830,770801,2,University of Virginia,51556381.0,1977,1981,19,8,0,1,1,0,394,1968.0,7.296296296296297,14088,260.8888888888889,250,4.62962962962963,1976.0,5,47,4,2.5,33.869565217391305,1976.0,13.0,40,2
1549426,771831,771756,1,Univ. Nice Sophia Antipolis,,-1,1988,17,3,0,-1,0,0,143,1978.0,3.3255813953488373,7634,177.53488372093022,192,4.465116279069767,1993.0,22,258,30,2.3636363636363638,41.0,1988.0,10.0,3,0
1549428,771832,771756,1,Univ. Nice Sophia Antipolis,,-1,1991,17,6,0,1,0,0,143,1978.0,3.3255813953488373,7634,177.53488372093022,192,4.465116279069767,-1.0,0,0,0,0.0,0.0,1991.0,13.0,8,0
1549430,771833,771756,1,Univ. Nice Sophia Antipolis,,-1,1994,17,8,0,1,0,0,143,1978.0,3.3255813953488373,7634,177.53488372093022,192,4.465116279069767,-1.0,0,0,0,0.0,0.0,1994.0,16.0,30,0
1549434,771834,771756,1,Univ. Nice Sophia Antipolis,,-1,1995,17,8,0,1,0,0,143,1978.0,3.3255813953488373,7634,177.53488372093022,192,4.465116279069767,-1.0,0,0,0,0.0,0.0,1995.0,17.0,35,0
1549456,771846,771756,1,Univ. Nice Sophia Antipolis,,-1,1993,17,9,0,1,0,0,143,1978.0,3.3255813953488373,7634,177.53488372093022,192,4.465116279069767,1993.0,3,8,3,1.0,2.6666666666666665,1993.0,15.0,24,3
1549696,771911,561229,1,University of Southern California,1174212.0,-1,1995,1,1,2,0,1,1,221,1979.0,8.5,9758,375.3076923076923,103,3.9615384615384617,1991.0,17,482,6,7.032258064516129,109.0,1991.0,16.0,112,17
1549709,771914,771915,1,University of Basel,1850255.0,-1,1981,1,1,0,0,1,0,116,1968.0,2.5217391304347827,8113,176.3695652173913,50,1.0869565217391304,1979.0,1,89,2,4.5476190476190474,82.69047619047619,1979.0,13.0,8,0
1549864,771971,770801,1,University of Athens,,-1,1982,19,5,0,1,0,0,394,1968.0,7.296296296296297,14088,260.8888888888889,250,4.62962962962963,-1.0,0,0,0,0.0,0.0,1982.0,14.0,42,0
1550014,772020,690882,1,"Queen Mary College, University of London",,-1,1989,4,1,0,0,0,0,567,1976.0,12.886363636363637,54671,1242.5227272727273,779,17.704545454545453,1990.0,13,616,24,7.3125,326.75,1989.0,13.0,10,1
1550028,772023,31476,1,University of Iowa,126307644.0,-1,1965,11,7,0,1,1,0,7,1956.0,1.75,415,103.75,5,1.25,1963.0,22,393,12,13.137931034482758,326.2068965517241,1963.0,9.0,0,0
1550070,772028,92369,1,University of Cambridge,241749.0,-1,1988,11,2,2,-1,1,1,225,1960.0,3.75,18433,307.21666666666664,149,2.4833333333333334,1986.0,33,1086,41,20.583333333333332,2022.0833333333333,1986.0,28.0,38,5
1550071,772028,493281,1,University of Cambridge,241749.0,-1,1988,2,1,2,0,1,1,737,1977.0,16.377777777777776,137108,3046.8444444444444,392,8.71111111111111,1986.0,33,1086,41,20.583333333333332,2022.0833333333333,1986.0,11.0,52,0
1550075,772033,706435,1,"University of Maryland, College Park",66946132.0,-1,1979,1,1,2,0,1,1,329,1970.0,8.435897435897436,4532,116.2051282051282,311,7.9743589743589745,1979.0,15,408,14,4.6976744186046515,105.72093023255815,1979.0,9.0,31,0
1550078,772034,772033,1,Aristotle University of Thessaloniki,21370196.0,-1,1994,3,1,0,0,0,0,202,1979.0,4.6976744186046515,4546,105.72093023255815,177,4.116279069767442,1991.0,8,54,8,7.161290322580645,68.09677419354838,1991.0,15.0,18,5
