CID,MenteeID,MentorID,MentorshipType,Institution,InstitutionMAGID,StartYear,StopYear,NumOfMenteesOfTheMentor,NumOfMenteesOfTheMentor10,NumOfMenteesOfTheMenteeIn20,BigOrSmall,Survival0,Survival1,TotalPubsOfMentor,YearOfTheFirstPubsOfMentorPubs,YearlyPubsOfMentor,TotalCitationOfMentor,YearlyCitationOfMentor,TotalCollaOfMentor,YearllyCollaOfMentor,YearOfTheFirstPubsOfMenteePubs,First5YearPubsOfMentee,First5YearCitationOfMentee,First5YearCollaOfMentee,YearlyPubsOfMentee,YearlyCitationOfMentee,BirthYearOfMentee,CareerAgeOfMentorInTraining,PubsOfMentorInTraning,CollaPubsOfWithMentor,S_Or_DP
65285,32647,53738,1,CNRS,1294671590.0,1991,1992,16,4,2,1,1,1,118,1977.0,2.6222222222222222,2874,63.86666666666667,113,2.5111111111111097,2002.0,13,366,24,2.631578947368421,59.57894736842106,1992.0,15.0,15,0,1
65348,55135,32829,2,University of Cambridge,241749.0,-1,1960,16,5,0,1,0,0,48,1943.0,1.0434782608695652,17421,378.7173913043478,31,0.6739130434782609,1958.0,6,550,9,2.2641509433962264,157.75471698113208,1958.0,17.0,12,0,1
65356,55150,1287,1,Cajal Institute,2184545.0,1916,1934,6,1,0,0,1,0,0,-1.0,0.0,0,0.0,0,0.0,-1.0,0,0,0,0.0,0.0,1934.0,-1.0,0,0,0
65433,55211,55212,1,Case Western Reserve University,58956616.0,1985,1991,1,1,1,0,1,1,40,1974.0,1.2121212121212122,1534,46.48484848484848,52,1.5757575757575757,1989.0,4,90,3,3.7575757575757582,70.0,1989.0,17.0,12,3,1
65434,55211,1361,2,"University of Maryland, College Park",66946132.0,1993,1995,5,1,2,0,1,1,65,1982.0,1.8055555555555558,8842,245.61111111111111,123,3.4166666666666665,1989.0,4,90,3,3.7575757575757582,70.0,1989.0,13.0,7,2,1
65437,47175,5098,2,"Indiana University, Bloomington",592451.0,1981,1984,14,3,0,-1,0,0,168,1955.0,3.2307692307692317,12284,236.23076923076923,147,2.8269230769230766,1987.0,6,86,7,0.7,31.45,1984.0,29.0,23,0,1
65438,27518,5098,1,"Indiana University, Bloomington",592451.0,-1,1968,14,4,0,1,1,0,168,1955.0,3.2307692307692317,12284,236.23076923076923,147,2.8269230769230766,1967.0,5,271,9,3.54,285.96,1967.0,13.0,33,2,1
65481,55248,144,1,University of Pennsylvania,79576946.0,-1,1974,11,1,0,0,1,0,38,1948.0,0.6229508196721312,15961,261.655737704918,24,0.3934426229508197,1970.0,5,214,8,3.5961538461538463,652.5192307692307,1970.0,26.0,4,0,1
65495,55251,55255,3,UCLA School of Medicine,,1990,1992,4,1,1,0,1,1,709,1973.0,14.469387755102039,137104,2798.0408163265306,1185,24.18367346938776,1984.0,18,4890,29,10.76315789473684,932.4473684210526,1984.0,19.0,116,11,1
65621,33168,22539,2,NIAAA/NIH,,1977,1981,3,1,1,0,1,1,111,1967.0,2.22,14143,282.86,118,2.36,1980.0,1,8,2,2.142857142857143,85.5,1980.0,14.0,14,0,1
