CID,MenteeID,MentorID,MentorshipType,Institution,InstitutionMAGID,StartYear,StopYear,NumOfMenteesOfTheMentor,NumOfMenteesOfTheMentor10,NumOfMenteesOfTheMenteeIn20,BigOrSmall,Survival0,Survival1,TotalPubsOfMentor,YearOfTheFirstPubsOfMentorPubs,YearlyPubsOfMentor,TotalCitationOfMentor,YearlyCitationOfMentor,TotalCollaOfMentor,YearllyCollaOfMentor,YearOfTheFirstPubsOfMenteePubs,First5YearPubsOfMentee,First5YearCitationOfMentee,First5YearCollaOfMentee,YearlyPubsOfMentee,YearlyCitationOfMentee,BirthYearOfMentee,CareerAgeOfMentorInTraining,PubsOfMentorInTraning,CollaPubsOfWithMentor,S_Or_DP
1338356,703138,556740,1,University of Pittsburgh,170201317.0,-1,1973,12,3,1,-1,1,1,74,1964.0,1.3703703703703705,1759,32.574074074074076,59,1.0925925925925926,1977.0,4,75,4,3.4883720930232562,72.44186046511628,1973.0,9.0,9,0,1
1338364,615114,80179,1,"University of Michigan, Ann Arbor",27837315.0,-1,1922,6,2,3,-1,1,1,10,1931.0,0.12345679012345677,345,4.25925925925926,12,0.14814814814814814,-1.0,0,0,0,0.0,0.0,1922.0,-9.0,0,0,0
1338370,703142,250535,1,Cornell University,205783295.0,1990,1994,6,1,0,0,0,0,294,1978.0,6.6818181818181825,23544,535.0909090909091,771,17.522727272727273,1991.0,2,84,8,4.0,13.428571428571427,1991.0,16.0,48,0,1
1338378,703145,615114,1,"University of Michigan, Ann Arbor",27837315.0,-1,1940,3,2,0,-1,0,0,0,-1.0,0.0,0,0.0,0,0.0,-1.0,0,0,0,0.0,0.0,1940.0,-1.0,0,0,0
1338383,703146,128262,1,California Institute of Technology,122411786.0,-1,1979,1,1,0,0,0,0,127,1951.0,2.015873015873016,3035,48.17460317460318,128,2.031746031746032,-1.0,0,0,0,0.0,0.0,1979.0,28.0,5,0,0
1338357,55549,703138,1,University of Chicago,40347166.0,1983,1989,1,1,0,0,0,0,150,1977.0,3.4883720930232562,3115,72.44186046511628,188,4.372093023255814,-1.0,0,0,0,0.0,0.0,1989.0,12.0,4,0,0
1338400,587820,72208,1,Yale University,32971472.0,-1,1986,8,3,2,-1,1,1,279,1971.0,5.470588235294118,17938,351.7254901960784,139,2.7254901960784315,1984.0,16,855,14,4.7631578947368425,167.94736842105263,1984.0,15.0,36,3,1
1338431,638654,395663,1,"University of Washington, Seattle",201448701.0,-1,1984,14,6,0,1,0,0,79,1977.0,1.7954545454545454,2547,57.88636363636363,146,3.3181818181818183,1985.0,1,18,2,1.0,18.0,1984.0,7.0,10,0,0
1338434,629955,395663,1,"University of Washington, Seattle",201448701.0,-1,1987,14,8,0,1,0,0,79,1977.0,1.7954545454545454,2547,57.88636363636363,146,3.3181818181818183,1983.0,4,147,2,1.351351351351351,39.1081081081081,1983.0,10.0,8,3,1
1380559,724475,724476,1,Columbia University,78577930.0,1970,1976,2,1,1,0,1,1,0,-1.0,0.0,0,0.0,0,0.0,1973.0,4,56,7,2.4285714285714284,48.81632653061224,1973.0,-1.0,0,0,1
1338438,703157,60296,1,Bedford College University of London,,1964,1967,2,2,0,-1,0,0,0,-1.0,0.0,0,0.0,0,0.0,-1.0,0,0,0,0.0,0.0,1967.0,-1.0,0,0,0
1338444,448611,395663,1,"University of Washington, Seattle",201448701.0,-1,1986,14,8,0,1,1,0,79,1977.0,1.7954545454545454,2547,57.88636363636363,146,3.3181818181818183,1985.0,2,4,4,6.405405405405406,169.54054054054058,1985.0,9.0,10,0,1
1338447,395663,74297,1,"University of Wisconsin, Madison",135310074.0,-1,1980,1,1,11,0,1,1,101,1927.0,1.0860215053763442,3215,34.56989247311828,58,0.6236559139784946,1977.0,5,853,4,1.7954545454545454,57.88636363636363,1977.0,53.0,16,1,1
