CID,MenteeID,MentorID,MentorshipType,Institution,InstitutionMAGID,StartYear,StopYear,NumOfMenteesOfTheMentor,NumOfMenteesOfTheMentor10,NumOfMenteesOfTheMenteeIn20,BigOrSmall,Survival0,Survival1,TotalPubsOfMentor,YearOfTheFirstPubsOfMentorPubs,YearlyPubsOfMentor,TotalCitationOfMentor,YearlyCitationOfMentor,TotalCollaOfMentor,YearllyCollaOfMentor,YearOfTheFirstPubsOfMenteePubs,First5YearPubsOfMentee,First5YearCitationOfMentee,First5YearCollaOfMentee,YearlyPubsOfMentee,YearlyCitationOfMentee,BirthYearOfMentee,CareerAgeOfMentorInTraining,PubsOfMentorInTraning,CollaPubsOfWithMentor
33091,23641,16278,1,"University of Colorado, Boulder",188538660.0,1988,1991,3,2,0,-1,0,0,48,1967.0,0.8727272727272727,3956,71.92727272727272,68,1.2363636363636363,2004.0,12,236,32,5.222222222222221,217.94444444444446,1991.0,24.0,8,0
33092,23629,23642,0,"University of California, Berkeley",95457486.0,1980,1983,4,3,10,-1,1,1,32,1963.0,1.1851851851851851,2332,86.37037037037037,25,0.9259259259259259,1988.0,8,496,10,1.3125,38.8125,1983.0,20.0,5,0
33094,23643,23642,1,"University of California, Berkeley",95457486.0,1978,1982,4,3,5,-1,1,1,32,1963.0,1.1851851851851851,2332,86.37037037037037,25,0.9259259259259259,1980.0,7,1081,8,2.1904761904761907,194.0,1980.0,19.0,5,1
33095,4168,23642,1,"University of California, Berkeley",95457486.0,1980,1985,4,4,0,1,1,0,32,1963.0,1.1851851851851851,2332,86.37037037037037,25,0.9259259259259259,1982.0,10,798,18,3.475,748.15,1982.0,22.0,5,4
33096,22886,23642,1,"University of California, Berkeley",95457486.0,1982,1988,4,3,0,-1,0,0,32,1963.0,1.1851851851851851,2332,86.37037037037037,25,0.9259259259259259,1990.0,10,1254,7,2.71875,169.90625,1988.0,25.0,7,0
33097,23644,4816,1,McGill University,5023651.0,1979,1982,10,1,0,-1,0,0,72,1952.0,2.4,7284,242.8,42,1.4,1979.0,23,3881,7,2.333333333333333,457.0740740740741,1979.0,30.0,7,1
33127,23657,20968,1,"University of Massachusetts, Amherst",24603500.0,-1,1993,12,5,0,1,0,0,49,1981.0,1.3243243243243243,4328,116.97297297297294,6,0.16216216216216214,1988.0,2,146,2,0.8387096774193549,15.225806451612904,1988.0,12.0,4,0
33197,23704,23705,1,University of Calgary,168635309.0,1972,1976,1,1,17,-1,1,1,74,1973.0,2.96,3204,128.16,43,1.72,1973.0,16,605,11,6.938775510204081,557.3061224489796,1973.0,3.0,25,13
33198,23704,23707,1,University of Calgary,168635309.0,1972,1976,3,1,17,-1,1,1,115,1972.0,2.875,5310,132.75,67,1.675,1973.0,16,605,11,6.938775510204081,557.3061224489796,1973.0,4.0,23,13
33199,23704,23708,2,McGill University,5023651.0,1976,1978,3,1,19,-1,1,1,74,1972.0,3.217391304347826,8780,381.7391304347826,70,3.0434782608695654,1973.0,16,605,11,6.938775510204081,557.3061224489796,1973.0,6.0,18,6
33201,23704,2261,2,Salk Institute for Biological Studies,1307098950.0,1978,1980,29,6,20,1,1,1,653,1958.0,11.067796610169491,133029,2254.7288135593217,783,13.271186440677965,1973.0,16,605,11,6.938775510204081,557.3061224489796,1973.0,22.0,137,8
33202,8995,23704,2,University of Calgary,168635309.0,1984,1987,67,5,3,1,1,1,340,1973.0,6.938775510204081,27308,557.3061224489796,449,9.16326530612245,1990.0,10,1630,11,2.4838709677419355,376.0322580645162,1987.0,14.0,50,0
